ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TIPO,TOTAL_ELEM,CAPACIDAD_MAX
18098,Área Infantil,165,APOSTOL SANTIAGO,16,HORTALEZA,OPERATIVO,444431.0,4480734.8,ETRS89,40.47543882,-3.65556502,CARRETERA,ESTACION DE HORTALEZA,12,28033.0,"C · CALLE MONOVAR , ASCENDIENTE 1: 165 · APÓSTOL",20096455.0,2006-01-01 00:00:00.0,16081,AE21,Infantiles,7.0,
18100,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,445647.68,4479416.18,ETRS89,40.46364055,-3.64109936,CALLE,ALCORISA,11,28043.0,"C · CALLE ALCORISA 11 , ASCENDIENTE 1: 163 · CANI",11116839.0,2005-01-01 00:00:00.0,16086,AE21,Infantiles,8.0,
18102,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,445501.2,4478968.99,ETRS89,40.45960243,-3.64278862,CALLE,SILVANO,63,28043.0,"C · CALLE ANDORRA 89 , ASCENDIENTE 1: 163 · CANIL",20065719.0,2005-01-01 00:00:00.0,16088,AE21,Infantiles,13.0,
18105,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,445418.19,4479081.29,ETRS89,40.46060864,-3.64377728,CALLE,CALANDA,12,28043.0,"C · CALLE ANDORRA 83 , ASCENDIENTE 1: 163 · CANIL",11116768.0,2005-01-01 00:00:00.0,16091,AE21,Infantiles,14.0,
17485,Área Infantil,114,VISTA ALEGRE,11,CARABANCHEL,OPERATIVO,436223.634,4469941.84,ETRS89,40.37762225,-3.75129984,CALLE,JACOBINIA,34,28047.0,"JACOBINIA, 000034",11075008.0,2006-01-01 00:00:00.0,11096,AE21,Infantiles,15.0,
17487,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,436215.9,4469738.65,ETRS89,40.37579124,-3.75137061,RONDA,DON BOSCO,2,28044.0,"RDA DON BOSCO, 000002",11077588.0,2006-01-01 00:00:00.0,11099,AE21,Infantiles,15.0,
17489,Área Infantil,114,VISTA ALEGRE,11,CARABANCHEL,OPERATIVO,436198.31,4470007.86,ETRS89,40.37821505,-3.75160475,CALLE,PARQUE EUGENIA DE MONTIJO,52,28047.0,"PARQUE EUGENIA DE MONTIJO, 000052",11074965.0,2000-01-01 00:00:00.0,11100,AE21,Infantiles,8.0,
17491,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435852.961,4469888.372,ETRS89,40.37711214,-3.75566071,AVENIDA,POBLADOS,74,28044.0,"AVDA POBLADOS, 000074",20092564.0,2007-01-01 00:00:00.0,11135,AE21,Infantiles,6.0,
17493,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435912.65,4469871.85,ETRS89,40.3769679,-3.75495597,CALLE,JACOBINIA,5,28047.0,"JACOBINIA, 000005",20119348.0,2003-01-01 00:00:00.0,11105,AE21,Infantiles,17.0,
17494,Área Infantil,113,SAN ISIDRO,11,CARABANCHEL,OPERATIVO,438922.5,4472250.14,ETRS89,40.39861871,-3.71973036,CALLE,JULIAN GONZALEZ,4,28019.0,"JULIÁN GONZÁLEZ, 000004",31008101.0,2006-01-01 00:00:00.0,11106,AE21,Infantiles,11.0,
